iter	MultiClass
0	1.087128845
1	1.078878535
2	1.068915891
3	1.059789891
4	1.053139736
5	1.046460224
6	1.039145313
7	1.032371831
8	1.026567375
9	1.020611057
10	1.014968051111	1.010452677112	1.005226101313	1.000801296114	0.9971148715115	0.9929301316116	0.9885697917117	0.985371618	118	0.981466419	19	0.9778469020	20	0.9747352221221	0.9714251022222	0.968646723	223	0.965906024	224	0.962957525	225	0.960299326	226	0.9589907272227	0.9565336228	28	0.9549472929	29	0.9519630	30	0.9478406
31	0.9458344638
32	0.9441055661
33	0.9425454521
34	0.9400564218
35	0.9385637312
36	0.9365135274
37	0.9343312352
38	0.9321076547
39	0.9303615589
40	0.9286622151
41	0.9271645188
42	0.925467459
43	0.9235333974
44	0.92209888
45	0.9212101263
46	0.9196944632
47	0.9182591888
48	0.9159522841
49	0.9145580071
50	0.9127509237
51	0.9112155797
52	0.9089233748
53	0.9076787658
54	0.9060293514
55	0.9040211995
56	0.9032083096
57	0.9018390915
58	0.9006241957
59	0.8991378458
60	0.8980896399
61	0.8964111729
62	0.8950612558
63	0.8939816893
64	0.8929485519
65	0.8913376297
66	0.8899574559
67	0.8887457503
68	0.887387961
69	0.8859760628
70	0.8850892902
71	0.8835264129
72	0.8816312135
73	0.8806461898
74	0.8795694318
75	0.878264166
76	0.8769370232
77	0.8757478971
78	0.8749136256
79	0.8735966495
80	0.8719771515
81	0.8705915848
82	0.8696344977
83	0.8676572236
84	0.8669261897
85	0.8651904395
86	0.8646116155
87	0.8624212061
88	0.8618364808
89	0.8608625024
90	0.8588488558
91	0.8584983377
92	0.8572799238
93	0.8551770563
94	0.8539376754
95	0.8530208679
96	0.8521180203
97	0.8510332884
98	0.8500750299
99	0.8496928409
100	0.8477262471
101	0.8470174579
102	0.8461445428
103	0.8445787907
104	0.8433419786
105	0.8419758833
106	0.8409319717
107	0.8402130325
108	0.8381127233
109	0.8369179711
110	0.8359710325
111	0.8342639944
112	0.8330660858
113	0.8326555398
114	0.8309488484
115	0.8291319126
116	0.828596472
117	0.8279337662
118	0.8264642313
119	0.8250868774
120	0.8237229604
121	0.8225414672
122	0.8212437876
123	0.8200182564
124	0.8191235497
125	0.8172704484
126	0.8153367588
127	0.8143530494
128	0.8131378854
129	0.8116220286
130	0.8103975074
131	0.8094098088
132	0.8078062461
133	0.8062696098
134	0.8052661855
135	0.8048212777
136	0.80415413713137	0.80324042813138	0.801317973139	0.7824859108
140	0.7812033771
141	0.7803377049
142	0.7794207109
143	0.7780984717
144	0.77746442145145	0.7766297714146	0.7749100771147	0.77424366981148	0.772559011491149	0.78817370621150	0.78671741521151	0.78488881361152	0.783766867
153	0.7826897215
154	0.7814965835
155	0.7799426278
156	0.7791744086
157	0.7784804024
158	0.7774344353
159	0.7762688328
160	0.7752601702
161	0.7745935204
162	0.7738893183
163	0.7728380531
164	0.7719910704
165	0.770553266
166	0.7696086047
167	0.7675535329
168	0.7671702921
169	0.7657616665
170	0.7644442165
171	0.7634304843
172	0.7623536205
173	0.7609893663
174	0.7597582676
175	0.7586218912
176	0.7571541507
177	0.756226656
178	0.7556261271
179	0.7545852927
180	0.7539399899
181	0.7533257652
182	0.7524177851
183	0.7510788717
184	0.7498812121
5	0.73263186	0.186	0.73115187	0.7369063408
4
187	0.7285760767
39544126
189	0.7319135466
