iter	Passed	Remaining
0	214	25897
1	252	15146
2	291	11567
3	335	9889
4	378	8848
5	421	8156
6	460	7564
7	502	7156
8	546	6857
9	595	6670
10	642	6479
11	687	6302
12	732	6138
13	780	6021
14	829	5915
15	875	5801
16	923	5703
17	971	5612
18	1015	5503
19	1054	5379
20	1096	5272
21	1138	5174
22	1191	5127
23	1237	5053
24	1278	4962
25	1316	4862
26	1354	4766
27	1396	4687
28	1439	4614
29	1482	4547
30	1526	4480
31	1567	4407
32	1606	4332
33	1645	4257
34	1685	4190
35	1730	4133
36	1770	4068
37	1812	4007
38	1854	3945
39	1893	3881
40	1934	3821
41	1986	3782
42	2044	3755
43	2094	3712
44	2147	3675
45	2203	3640
46	2250	3591
47	2290	3531
48	2330	3471
49	2369	3412
50	2413	3360
51	2461	3313
52	2512	3271
53	2558	3221
54	2602	3170
55	2643	3115
56	2685	3062
57	2731	3014
58	2775	2963
59	2817	2911
60	2859	2859
61	2900	2807
62	2943	2756
63	2986	2706
64	3034	2660
65	3084	2616
66	3133	2572
67	3183	2528
68	3229	2480
69	3276	2433
70	3319	2384
71	3365	2336
72	3410	2289
73	3453	2240
74	3497	2191
75	3540	2142
76	3585	2095
77	3625	2045
78	3670	1997
79	3715	1950
80	3766	1906
81	3818	1862
82	3865	1816
83	3908	1768
84	3950	1719
85	3997	1673
86	4043	1626
87	4087	1579
88	4129	1531
89	4172	1483
90	4211	1434
91	4257	1388
92	4304	1342
93	4349	1295
94	4394	1248
95	4435	1201
96	4477	1154
97	4524	1107
98	4571	1061
99	4612	1014
100	4656	968
101	4702	922
102	4746	875
103	4796	830
104	4844	784
105	4890	738
106	4936	692
107	4979	645
108	5020	598
109	5062	552
110	5105	505
111	5150	459
112	5195	413
113	5243	367
114	5285	321
115	5331	275
116	5376	229
117	5425	183
118	5479	138
119	5536	92
120	5583	46
121	5630	0
