iter	Passed	Remaining
0	8	2754
1	16	2614
2	24	2579
3	32	2571
4	39	2475
5	47	2437
6	54	2400
7	61	2357
8	67	2315
9	74	2283
10	81	2265
11	88	2230
12	94	2205
13	101	2179
14	107	2161
15	114	2148
16	121	2132
17	128	2123
18	135	2115
19	143	2118
20	150	2111
21	157	2106
22	164	2097
23	171	2086
24	178	2077
25	185	2068
26	192	2061
27	199	2049
28	206	2044
29	213	2037
30	220	2029
31	227	2015
32	234	2013
33	241	2005
34	248	1997
35	255	1989
36	262	1982
37	269	1974
38	277	1967
39	283	1959
40	292	1959
41	299	1956
42	307	1951
43	315	1948
44	323	1947
45	330	1942
46	338	1936
47	347	1941
48	356	1941
49	364	1939
50	372	1935
51	379	1928
52	387	1923
53	394	1915
54	402	1908
55	410	1904
56	417	1899
57	425	1892
58	433	1887
59	441	1882
60	448	1873
61	455	1866
62	463	1862
63	471	1857
64	480	1854
65	488	1851
66	496	1846
67	505	1842
68	513	1839
69	522	1835
70	531	1833
71	539	1828
72	547	1823
73	556	1821
74	565	1818
75	574	1815
76	584	1813
77	592	1808
78	602	1806
79	610	1802
80	620	1798
81	629	1796
82	638	1791
83	648	1789
84	656	1785
85	666	1781
86	674	1776
87	684	1772
88	692	1766
89	702	1763
90	712	1762
91	722	1758
92	732	1756
93	743	1756
94	752	1751
95	762	1747
96	771	1741
97	780	1736
98	789	1730
99	799	1726
100	810	1725
101	820	1720
102	828	1713
103	838	1708
104	847	1702
105	857	1699
106	868	1695
107	878	1691
108	887	1686
109	897	1679
110	907	1675
111	917	1671
112	928	1668
113	937	1661
114	947	1655
115	957	1651
116	968	1646
117	977	1640
118	987	1634
119	996	1628
120	1006	1622
121	1018	1618
122	1027	1612
123	1037	1606
124	1047	1600
125	1056	1593
126	1066	1587
127	1077	1583
128	1088	1578
129	1100	1574
130	1109	1567
131	1119	1560
132	1128	1552
133	1137	1545
134	1146	1537
135	1157	1531
136	1168	1526
137	1177	1518
138	1186	1511
139	1195	1503
140	1204	1494
141	1214	1487
142	1222	1479
143	1231	1470
144	1239	1462
145	1248	1453
146	1256	1444
147	1264	1435
148	1273	1426
149	1281	1417
150	1289	1409
151	1298	1400
152	1305	1390
153	1313	1381
154	1320	1372
155	1328	1362
156	1335	1352
157	1343	1343
158	1351	1334
159	1359	1325
160	1366	1316
161	1374	1306
162	1381	1296
163	1388	1286
164	1396	1277
165	1404	1269
166	1412	1260
167	1421	1251
168	1428	1242
169	1436	1234
170	1445	1225
171	1453	1216
172	1460	1207
173	1468	1198
174	1477	1190
175	1486	1182
176	1495	1174
177	1503	1165
178	1511	1157
179	1519	1148
180	1528	1140
181	1538	1132
182	1546	1124
183	1555	1116
184	1563	1107
185	1572	1099
186	1581	1090
187	1589	1082
188	1598	1074
189	1607	1065
190	1615	1057
191	1623	1048
192	1631	1039
193	1640	1031
194	1649	1023
195	1657	1015
196	1666	1006
197	1676	999
198	1685	990
199	1694	982
200	1703	974
201	1713	966
202	1722	958
203	1731	950
204	1739	941
205	1747	933
206	1755	924
207	1764	915
208	1771	906
209	1779	898
210	1786	889
211	1793	879
212	1800	870
213	1807	861
214	1814	852
215	1821	843
216	1827	833
217	1833	824
218	1839	814
219	1846	805
220	1852	796
221	1859	787
222	1865	778
223	1872	768
224	1879	760
225	1885	750
226	1892	742
227	1899	733
228	1906	724
229	1915	716
230	1928	709
231	1935	700
232	1942	692
233	1950	683
234	1957	674
235	1964	666
236	1972	657
237	1979	648
238	1986	640
239	1993	631
240	2001	622
241	2008	614
242	2016	605
243	2023	597
244	2030	588
245	2037	579
246	2045	571
247	2052	562
248	2059	554
249	2067	545
250	2075	537
251	2082	529
252	2090	520
253	2097	512
254	2104	503
255	2112	495
256	2120	486
257	2128	478
258	2135	469
259	2143	461
260	2150	453
261	2158	444
262	2165	436
263	2172	427
264	2179	419
265	2187	411
266	2194	402
267	2202	394
268	2209	386
269	2216	377
270	2223	369
271	2230	360
272	2237	352
273	2243	343
274	2250	335
275	2256	327
276	2263	318
277	2269	310
278	2277	301
279	2283	293
280	2290	285
281	2298	277
282	2305	268
283	2311	260
284	2317	252
285	2325	243
286	2331	235
287	2338	227
288	2345	219
289	2351	210
290	2358	202
291	2365	194
292	2372	186
293	2379	178
294	2385	169
295	2392	161
296	2399	153
297	2406	145
298	2413	137
299	2421	129
300	2427	120
301	2434	112
302	2441	104
303	2447	96
304	2453	88
305	2460	80
306	2467	72
307	2473	64
308	2481	56
309	2487	48
310	2494	40
311	2500	32
312	2507	24
313	2513	16
314	2520	8
315	2526	0
